player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"Buehler, Walker",FF,2020,96.5,97,6.5,foul,2623,,,
"Buehler, Walker",FF,2020,97.0,97.6,6.5,foul_tip,2763,,0,1
"Morton, Charlie",FC,2020,86.1,87,6.5,swinging_strike,2424,,0,1
"Buehler, Walker",FF,2020,97.4,97.2,6.2,swinging_strike,2855,,,
"Buehler, Walker",FF,2020,97.1,97.2,6.3,swinging_strike,2860,,,
"Morton, Charlie",FF,2020,92.7,92.8,6.3,foul,2460,,,
"Buehler, Walker",FF,2020,97.1,97.2,6.5,foul,2675,,,
"Morton, Charlie",FF,2020,94.5,94.5,6.2,hit_into_play,2368,0.132,0,1
"Buehler, Walker",FF,2020,95.4,95.5,6.3,swinging_strike,2670,,0,1
"Morton, Charlie",FC,2020,86.1,87.1,6.6,swinging_strike,2324,,,
"Buehler, Walker",FC,2020,92.5,93.3,6.4,hit_into_play,2866,0.297,0,1
"Morton, Charlie",SI,2020,93.4,93.3,6.3,hit_into_play,2241,0.3,0.9,1
"Buehler, Walker",FF,2020,98.6,98.9,6.4,foul,2807,,,
"Buehler, Walker",FF,2020,96.1,96.5,6.5,foul,2600,,,
"Buehler, Walker",FF,2020,97.6,98,6.5,foul,2723,,,
"Buehler, Walker",FF,2020,97.8,97.8,6.4,foul,2593,,,
"Morton, Charlie",SI,2020,93.3,93.7,6.4,hit_into_play,2096,0.289,0,0
"Buehler, Walker",FC,2020,93.5,94.1,6.4,foul,2787,,,
"Buehler, Walker",FC,2020,93.7,94.1,6.3,swinging_strike,2909,,,
"Buehler, Walker",FF,2020,97.2,97.3,6.4,hit_into_play,2648,0.395,1.25,1
"Morton, Charlie",SI,2020,93.7,93.8,6.3,swinging_strike,2211,,,
"Morton, Charlie",FF,2020,93.0,93.3,6.4,hit_into_play,2228,0.869,0.9,1
"Buehler, Walker",FF,2020,95.5,95.6,6.4,foul,2738,,,
"Buehler, Walker",FF,2020,97.1,97.3,6.4,swinging_strike,2838,,0,1
"Morton, Charlie",FC,2020,87.3,88,6.3,foul,2269,,,
"Morton, Charlie",SI,2020,94.5,94.6,6.4,foul,2151,,,
"Morton, Charlie",FC,2020,88.4,89.3,6.4,hit_into_play,2724,0.941,0.9,1
"Morton, Charlie",FC,2020,88.6,89.5,6.6,foul,2466,,,
"Buehler, Walker",FC,2020,92.2,92.9,6.4,foul,2920,,,
"Buehler, Walker",FF,2020,96.5,97.5,6.8,hit_into_play,2711,1.393,0,1
"Morton, Charlie",FC,2020,88.1,88.6,6.4,swinging_strike,2423,,,
"Buehler, Walker",FF,2020,97.3,97.4,6.4,foul,2617,,,
"Morton, Charlie",SI,2020,94.0,94.2,6.4,foul,2114,,,
"Buehler, Walker",FF,2020,97.0,97.2,6.4,foul,2690,,,
"Buehler, Walker",FF,2020,97.4,97.8,6.4,hit_into_play,2606,0.736,0,1
"Buehler, Walker",FF,2020,97.0,96.8,6.3,foul,2609,,,
"Buehler, Walker",FF,2020,96.3,96.4,6.4,swinging_strike,2660,,,
"Buehler, Walker",FF,2020,97.2,97.3,6.4,foul,2786,,,
"Buehler, Walker",FF,2020,97.7,98.1,6.5,foul,2693,,,
"Buehler, Walker",FF,2020,98.0,97.9,6.3,foul,2601,,,
"Buehler, Walker",FF,2020,96.5,96.3,6.2,swinging_strike,2687,,,
"Buehler, Walker",FF,2020,96.8,97,6.4,swinging_strike,2531,,,
"Morton, Charlie",FF,2020,94.4,94.2,6.3,hit_into_play,2335,0.268,0,1
"Curtiss, John",FF,2020,94.1,94.2,6.5,hit_into_play,2348,0.603,0,1
"Curtiss, John",FF,2020,93.5,93.9,6.7,foul,2261,,,
"Buehler, Walker",FF,2020,97.1,97.3,6.3,hit_into_play,2613,0.126,0,1
"Morton, Charlie",SI,2020,95.2,94.8,6.3,foul,2128,,,
"McClanahan, Shane",FF,2020,98.0,98,6.4,hit_into_play,2188,0.665,0,1
"Curtiss, John",FF,2020,93.5,93.7,6.4,foul,2235,,,
"Buehler, Walker",FF,2020,95.8,96,6.3,swinging_strike,2538,,,
"McClanahan, Shane",FF,2020,98.8,99.3,6.6,hit_into_play,2278,0.006,0,1
"Morton, Charlie",FF,2020,94.6,95,6.5,hit_into_play,2433,0.028,0,1
"Buehler, Walker",FF,2020,98.0,98.1,6.4,hit_into_play,2821,0.09,0,1
"Curtiss, John",FF,2020,94.9,95.4,6.6,hit_into_play,2294,0.522,0.9,1
"Buehler, Walker",FF,2020,97.7,97.7,6.4,foul,2694,,,
"Morton, Charlie",FC,2020,85.6,85.6,6.2,swinging_strike,2322,,,
"Buehler, Walker",FF,2020,97.9,98,6.3,foul,2807,,,
"Buehler, Walker",FF,2020,98.8,99.1,6.4,swinging_strike,2819,,0,1
"Curtiss, John",FF,2020,94.6,94.6,6.6,foul,2284,,,
"Buehler, Walker",FF,2020,97.8,98,6.5,swinging_strike,2812,,,
