player_name,pitch_type,game_year,release_speed,effective_speed,release_extension,description,release_spin_rate,estimated_woba_using_speedangle,woba_value,woba_denom
"deGrom, Jacob",FF,2020,99.1,99.6,6.8,foul,2572,,,
"Anderson, Chase",FC,2020,88.0,87.2,5.9,swinging_strike,2294,,0,1
"Waguespack, Jacob",SI,2020,93.8,94.6,6.7,hit_into_play,2010,0.821,0.9,1
"Young, Alex",FC,2020,86.6,86.1,6,hit_into_play,2414,0.162,0,1
"Tomlin, Josh",FF,2020,88.6,87.4,5.7,hit_into_play,2196,0.814,0.9,1
"Cole, Gerrit",FF,2020,97.5,98,6.6,foul,2460,,,
"Snell, Blake",FF,2020,93.8,94.7,7,hit_into_play,2345,0.189,0,1
"Fedde, Erick",FF,2020,93.5,94.5,6.8,foul,1824,,,
"Brault, Steven",FF,2020,91.2,92.6,6.9,hit_into_play,2178,0.369,0,1
"Young, Alex",FC,2020,86.4,85.4,5.6,swinging_strike,2377,,,
"Giolito, Lucas",FF,2020,94.2,94.6,6.7,foul,2387,,,
"Canning, Griffin",FF,2020,91.3,90.7,5.8,hit_into_play,2358,0.891,0.9,1
"Bubic, Kris",FF,2020,87.7,88.4,6.8,swinging_strike,2134,,,
"Woodruff, Brandon",SI,2020,96.3,96.8,6.6,foul,2273,,,
"Lyles, Jordan",FF,2020,90.7,91.4,6.7,hit_into_play,2173,0.066,0,1
"Mize, Casey",FC,2020,88.4,89.1,6.6,hit_into_play,2310,0.017,0,1
"Bieber, Shane",FC,2020,89.7,90.4,6.7,foul,2423,,,
"Cobb, Alex",SI,2020,92.2,91.3,5.7,foul,1921,,,
"Anderson, Chase",FC,2020,86.9,86.6,5.9,swinging_strike,2313,,,
"Cole, Gerrit",FF,2020,95.9,96.1,6.5,swinging_strike,2408,,,
"Kikuchi, Yusei",FF,2020,92.7,93.1,6.8,swinging_strike,2112,,,
"Canning, Griffin",FF,2020,90.9,90.5,6,swinging_strike,2329,,,
"Brault, Steven",SI,2020,91.0,93.3,7.5,foul,1908,,,
"Cobb, Alex",SI,2020,91.4,90.4,5.6,foul,1894,,,
"Snell, Blake",FF,2020,94.2,95.6,7.3,hit_into_play,2379,0.904,0.9,1
"Young, Alex",FC,2020,86.7,86,5.8,hit_into_play,2473,0.519,0.9,1
"deGrom, Jacob",FF,2020,99.5,100.1,6.7,foul,2364,,,
"Tomlin, Josh",FC,2020,86.2,85.2,5.6,foul,2597,,,
"Nola, Aaron",FF,2020,93.6,94.7,6.9,foul,1973,,,
"Woodruff, Brandon",FF,2020,97.6,97.9,6.5,hit_into_play,2448,0.027,0,1
"Lyles, Jordan",FF,2020,90.6,90.7,6.3,hit_into_play,2024,0.106,0,1
"Fedde, Erick",FF,2020,92.8,93.9,6.9,foul,1751,,,
